country,date,External Debt to GDP,Year,Debt Growth Rate (%)
Russian Federation,1977,17.4798552537527,1970,0.0
Russian Federation,1976,17.4798552537527,1970,0.0
Russian Federation,1975,17.4798552537527,1970,0.0
Russian Federation,1974,17.4798552537527,1970,0.0
Russian Federation,1973,17.4798552537527,1970,0.0
Russian Federation,1972,17.4798552537527,1970,0.0
Russian Federation,1971,17.4798552537527,1970,0.0
Russian Federation,1970,17.4798552537527,1970,0.0
Russian Federation,1969,17.4798552537527,1970,0.0
Russian Federation,1968,17.4798552537527,1970,0.0
Russian Federation,1967,17.4798552537527,1970,0.0
Russian Federation,1966,17.4798552537527,1970,0.0
Russian Federation,1965,17.4798552537527,1970,0.0
Russian Federation,1964,17.4798552537527,1970,0.0
Russian Federation,1963,17.4798552537527,1970,0.0
Russian Federation,1962,17.4798552537527,1970,0.0
Russian Federation,1961,17.4798552537527,1970,0.0
Russian Federation,1960,17.4798552537527,1970,0.0
United States,2023,17.4798552537527,1970,
United States,2022,17.4798552537527,1970,0.0
United States,2021,17.4798552537527,1970,0.0
United States,2020,17.4798552537527,1970,0.0
United States,2019,17.4798552537527,1970,0.0
United States,2018,17.4798552537527,1970,0.0
United States,2017,17.4798552537527,1970,0.0
United States,2016,17.4798552537527,1970,0.0
United States,2015,17.4798552537527,1970,0.0
United States,2014,17.4798552537527,1970,0.0
United States,2013,17.4798552537527,1970,0.0
United States,2012,17.4798552537527,1970,0.0
United States,2011,17.4798552537527,1970,0.0
United States,2010,17.4798552537527,1970,0.0
United States,2009,17.4798552537527,1970,0.0
United States,2008,17.4798552537527,1970,0.0
United States,2007,17.4798552537527,1970,0.0
United States,2006,17.4798552537527,1970,0.0
United States,2005,17.4798552537527,1970,0.0
United States,2004,17.4798552537527,1970,0.0
United States,2003,17.4798552537527,1970,0.0
United States,2002,17.4798552537527,1970,0.0
United States,2001,17.4798552537527,1970,0.0
United States,2000,17.4798552537527,1970,0.0
United States,1999,17.4798552537527,1970,0.0
United States,1998,17.4798552537527,1970,0.0
United States,1997,17.4798552537527,1970,0.0
United States,1996,17.4798552537527,1970,0.0
United States,1995,17.4798552537527,1970,0.0
United States,1994,17.4798552537527,1970,0.0
United States,1993,17.4798552537527,1970,0.0
United States,1992,17.4798552537527,1970,0.0
United States,1991,17.4798552537527,1970,0.0
United States,1990,17.4798552537527,1970,0.0
United States,1989,17.4798552537527,1970,0.0
United States,1988,17.4798552537527,1970,0.0
United States,1987,17.4798552537527,1970,0.0
United States,1986,17.4798552537527,1970,0.0
United States,1985,17.4798552537527,1970,0.0
United States,1984,17.4798552537527,1970,0.0
United States,1983,17.4798552537527,1970,0.0
United States,1982,17.4798552537527,1970,0.0
United States,1981,17.4798552537527,1970,0.0
United States,1980,17.4798552537527,1970,0.0
United States,1979,17.4798552537527,1970,0.0
United States,1978,17.4798552537527,1970,0.0
United States,1977,17.4798552537527,1970,0.0
United States,1976,17.4798552537527,1970,0.0
United States,1975,17.4798552537527,1970,0.0
United States,1974,17.4798552537527,1970,0.0
United States,1973,17.4798552537527,1970,0.0
United States,1972,17.4798552537527,1970,0.0
United States,1971,17.4798552537527,1970,0.0
United States,1970,17.4798552537527,1970,0.0
United States,1969,17.4798552537527,1970,0.0
United States,1968,17.4798552537527,1970,0.0
United States,1967,17.4798552537527,1970,0.0
United States,1966,17.4798552537527,1970,0.0
United States,1965,17.4798552537527,1970,0.0
United States,1964,17.4798552537527,1970,0.0
United States,1963,17.4798552537527,1970,0.0
United States,1962,17.4798552537527,1970,0.0
United States,1961,17.4798552537527,1970,0.0
United States,1960,17.4798552537527,1970,0.0
South Africa,2023,17.4798552537527,1970,
South Africa,2022,43.3792434144384,1970,148.1670630832337
South Africa,2021,41.1168746672165,1970,-5.215325508579271
South Africa,2020,52.7323468977475,1970,28.249890889183504
South Africa,2019,50.2455129135251,1970,-4.715955443903496
South Africa,2018,45.7386176540485,1970,-8.96974674581028
South Africa,2017,47.189634345937,1970,3.172410462562536
South Africa,2016,45.6869077355498,1970,-3.1844421581465054
South Africa,2015,37.7078002750993,1970,-17.464757095481453
South Africa,2014,40.1667158742941,1970,6.520973329803503
South Africa,2013,36.2068137000957,1970,-9.858665534397492
South Africa,2012,34.9360348114713,1970,-3.509778295186028
South Africa,2011,27.7414231921247,1970,-20.593669711435712
South Africa,2010,28.1800559318895,1970,1.5811472134180882
South Africa,2009,26.112601001907,1970,-7.336589164263863
South Africa,2008,24.1786295037814,1970,-7.406276754982621
South Africa,2007,22.519077312783,1970,-6.863714879864702
South Africa,2006,19.3968431263798,1970,-13.864840655042554
South Africa,2005,15.8817076026059,1970,-18.122204220919325
South Africa,2004,17.499891670399,1970,10.188980355787326
South Africa,2003,20.8473533430208,1970,19.12847082524527
South Africa,2002,27.7913348185499,1970,33.308695647228426
South Africa,2001,19.5001299531834,1970,-29.833777036979036
South Africa,2000,17.9488438094943,1970,-7.955260541409126
South Africa,1999,17.3421004881215,1970,-3.380403372009144
South Africa,1998,17.3639916238851,1970,0.12623116662595635
South Africa,1997,18.4812481915831,1970,6.434330261719046
South Africa,1996,16.2687611496114,1970,-11.971523887544189
South Africa,1995,15.0170695489257,1970,-7.693834762062368
South Africa,1994,14.3430112992824,1970,-4.488613756813297
South Africa,1993,14.3430112992824,1970,0.0
South Africa,1992,14.3430112992824,1970,0.0
South Africa,1991,14.3430112992824,1970,0.0
South Africa,1990,14.3430112992824,1970,0.0
South Africa,1989,14.3430112992824,1970,0.0
South Africa,1988,14.3430112992824,1970,0.0
South Africa,1987,14.3430112992824,1970,0.0
South Africa,1986,14.3430112992824,1970,0.0
South Africa,1985,14.3430112992824,1970,0.0
South Africa,1984,14.3430112992824,1970,0.0
South Africa,1983,14.3430112992824,1970,0.0
South Africa,1982,14.3430112992824,1970,0.0
South Africa,1981,14.3430112992824,1970,0.0
South Africa,1980,14.3430112992824,1970,0.0
South Africa,1979,14.3430112992824,1970,0.0
South Africa,1978,14.3430112992824,1970,0.0
South Africa,1977,14.3430112992824,1970,0.0
South Africa,1976,14.3430112992824,1970,0.0
South Africa,1975,14.3430112992824,1970,0.0
South Africa,1974,14.3430112992824,1970,0.0
South Africa,1973,14.3430112992824,1970,0.0
South Africa,1972,14.3430112992824,1970,0.0
South Africa,1971,14.3430112992824,1970,0.0
South Africa,1970,14.3430112992824,1970,0.0
South Africa,1969,14.3430112992824,1970,0.0
South Africa,1968,14.3430112992824,1970,0.0
South Africa,1967,14.3430112992824,1970,0.0
South Africa,1966,14.3430112992824,1970,0.0
South Africa,1965,14.3430112992824,1970,0.0
South Africa,1964,14.3430112992824,1970,0.0
South Africa,1963,14.3430112992824,1970,0.0
South Africa,1962,14.3430112992824,1970,0.0
South Africa,1961,14.3430112992824,1970,0.0
South Africa,1960,14.3430112992824,1970,0.0
